TIMESTAMP_MS,STATE,TEMP_CURRENT,TEMP_SETPOINT,HUMIDITY_RH,PID_DUTY,EXHAUST_STATE,ERROR_MSG
0,HEATING,24.35,65.0,67.8,100.0,1,NORMAL
200,HEATING,24.65,65.0,67.7,100.0,1,NORMAL
400,HEATING,24.98,65.0,67.5,100.0,1,NORMAL
600,HEATING,25.36,65.0,67.4,100.0,1,NORMAL
800,HEATING,25.72,65.0,67.2,100.0,1,NORMAL
1000,HEATING,26.05,65.0,67.1,100.0,1,NORMAL
1200,HEATING,26.36,65.0,66.9,100.0,1,NORMAL
1400,HEATING,26.73,65.0,66.8,100.0,1,NORMAL
1600,HEATING,27.09,65.0,66.6,100.0,1,NORMAL
1800,HEATING,27.4,65.0,66.5,100.0,1,NORMAL
2000,HEATING,27.75,65.0,66.3,100.0,1,NORMAL
2200,HEATING,28.04,65.0,66.2,100.0,1,NORMAL
2400,HEATING,28.38,65.0,66.0,100.0,1,NORMAL
2600,HEATING,28.73,65.0,65.9,100.0,1,NORMAL
2800,HEATING,29.02,65.0,65.7,100.0,1,NORMAL
3000,HEATING,29.36,65.0,65.6,100.0,1,NORMAL
3200,HEATING,29.69,65.0,65.4,100.0,1,NORMAL
3400,HEATING,30.0,65.0,65.3,100.0,1,NORMAL
3600,HEATING,30.35,65.0,65.1,100.0,1,NORMAL
3800,HEATING,30.64,65.0,65.0,100.0,1,NORMAL
4000,HEATING,30.95,65.0,64.8,100.0,1,NORMAL
4200,HEATING,31.22,65.0,64.7,100.0,1,NORMAL
4400,HEATING,31.53,65.0,64.5,100.0,1,NORMAL
4600,HEATING,31.82,65.0,64.4,100.0,1,NORMAL
4800,HEATING,32.15,65.0,64.2,100.0,1,NORMAL
5000,HEATING,32.5,65.0,64.1,99.9,1,NORMAL
5200,HEATING,32.75,65.0,63.9,97.4,1,NORMAL
5400,HEATING,33.08,65.0,63.8,100.0,1,NORMAL
5600,HEATING,33.39,65.0,63.6,96.8,1,NORMAL
5800,HEATING,33.69,65.0,63.5,96.8,1,NORMAL
6000,HEATING,33.95,65.0,63.3,96.4,1,NORMAL
6200,HEATING,34.21,65.0,63.2,98.8,1,NORMAL
6400,HEATING,34.46,65.0,63.0,97.4,1,NORMAL
6600,HEATING,34.69,65.0,62.9,97.5,1,NORMAL
6800,HEATING,34.94,65.0,62.7,97.5,1,NORMAL
7000,HEATING,35.22,65.0,62.6,95.8,1,NORMAL
7200,HEATING,35.49,65.0,62.4,92.0,1,NORMAL
7400,HEATING,35.7,65.0,62.3,92.0,1,NORMAL
7600,HEATING,35.99,65.0,62.1,95.2,1,NORMAL
7800,HEATING,36.24,65.0,62.0,88.5,1,NORMAL
8000,HEATING,36.47,65.0,61.8,90.9,1,NORMAL
8200,HEATING,36.69,65.0,61.7,91.0,1,NORMAL
8400,HEATING,36.94,65.0,61.5,91.3,1,NORMAL
8600,HEATING,37.15,65.0,61.4,87.9,1,NORMAL
8800,HEATING,37.42,65.0,61.2,89.7,1,NORMAL
9000,HEATING,37.63,65.0,61.1,84.7,1,NORMAL
9200,HEATING,37.88,65.0,60.9,88.6,1,NORMAL
9400,HEATING,38.09,65.0,60.8,83.9,1,NORMAL
9600,HEATING,38.32,65.0,60.6,86.7,1,NORMAL
9800,HEATING,38.57,65.0,60.5,84.0,1,NORMAL
10000,HEATING,38.78,65.0,60.3,81.6,1,NORMAL
10200,HEATING,39.02,65.0,60.2,83.8,1,NORMAL
