TIMESTAMP_MS,STATE,TEMP_CURRENT,TEMP_SETPOINT,HUMIDITY_RH,PID_DUTY,EXHAUST_STATE,ERROR_MSG
0,HEATING,24.39,65.0,67.8,100.0,1,NORMAL
200,HEATING,24.75,65.0,67.7,100.0,1,NORMAL
400,HEATING,25.06,65.0,67.5,100.0,1,NORMAL
600,HEATING,25.43,65.0,67.4,100.0,1,NORMAL
800,HEATING,25.75,65.0,67.2,100.0,1,NORMAL
1000,HEATING,26.07,65.0,67.1,100.0,1,NORMAL
1200,HEATING,26.41,65.0,66.9,100.0,1,NORMAL
1400,HEATING,26.73,65.0,66.8,100.0,1,NORMAL
1600,HEATING,27.03,65.0,66.6,100.0,1,NORMAL
1800,HEATING,27.34,65.0,66.5,100.0,1,NORMAL
2000,HEATING,27.62,65.0,66.3,100.0,1,NORMAL
2200,HEATING,27.97,65.0,66.2,100.0,1,NORMAL
2400,HEATING,28.34,65.0,66.0,100.0,1,NORMAL
2600,HEATING,28.7,65.0,65.9,100.0,1,NORMAL
2800,HEATING,29.02,65.0,65.7,100.0,1,NORMAL
3000,HEATING,29.35,65.0,65.6,100.0,1,NORMAL
3200,HEATING,29.69,65.0,65.4,100.0,1,NORMAL
3400,HEATING,30.03,65.0,65.3,100.0,1,NORMAL
3600,HEATING,30.3,65.0,65.1,100.0,1,NORMAL
3800,HEATING,30.63,65.0,65.0,100.0,1,NORMAL
4000,HEATING,30.92,65.0,64.8,100.0,1,NORMAL
4200,HEATING,31.26,65.0,64.7,100.0,1,NORMAL
4400,HEATING,31.57,65.0,64.5,100.0,1,NORMAL
4600,HEATING,31.84,65.0,64.4,100.0,1,NORMAL
4800,HEATING,32.14,65.0,64.2,100.0,1,NORMAL
5000,HEATING,32.48,65.0,64.1,100.0,1,NORMAL
5200,HEATING,32.79,65.0,63.9,98.1,1,NORMAL
5400,HEATING,33.05,65.0,63.8,99.5,1,NORMAL
5600,HEATING,33.39,65.0,63.6,100.0,1,NORMAL
5800,HEATING,33.63,65.0,63.5,94.5,1,NORMAL
6000,HEATING,33.88,65.0,63.3,100.0,1,NORMAL
6200,HEATING,34.12,65.0,63.2,99.8,1,NORMAL
6400,HEATING,34.43,65.0,63.0,99.5,1,NORMAL
6600,HEATING,34.72,65.0,62.9,92.6,1,NORMAL
6800,HEATING,34.98,65.0,62.7,93.1,1,NORMAL
7000,HEATING,35.2,65.0,62.6,94.5,1,NORMAL
7200,HEATING,35.45,65.0,62.4,97.3,1,NORMAL
7400,HEATING,35.74,65.0,62.3,93.5,1,NORMAL
7600,HEATING,35.96,65.0,62.1,89.5,1,NORMAL
7800,HEATING,36.23,65.0,62.0,93.3,1,NORMAL
8000,HEATING,36.47,65.0,61.8,89.6,1,NORMAL
8200,HEATING,36.7,65.0,61.7,90.4,1,NORMAL
8400,HEATING,36.9,65.0,61.5,89.8,1,NORMAL
8600,HEATING,37.19,65.0,61.4,92.3,1,NORMAL
8800,HEATING,37.39,65.0,61.2,83.9,1,NORMAL
9000,HEATING,37.59,65.0,61.1,89.4,1,NORMAL
9200,HEATING,37.77,65.0,60.9,89.8,1,NORMAL
9400,HEATING,38.02,65.0,60.8,89.4,1,NORMAL
9600,HEATING,38.2,65.0,60.6,84.3,1,NORMAL
9800,HEATING,38.47,65.0,60.5,88.1,1,NORMAL
10000,HEATING,38.63,65.0,60.3,80.6,1,NORMAL
10200,HEATING,38.89,65.0,60.2,88.4,1,NORMAL
10400,HEATING,39.09,65.0,60.0,79.6,1,NORMAL
